username,password,areaid
bike37,pbkdf2_sha256$216000$PKPPWsKhOLD5$g4eN2gtZDl/TbxiFagkWZE0n7RY6i7Bpak0S3mxoD6o=,37
bike38,pbkdf2_sha256$216000$Bwt5akhTsfDE$pogPqoshgmiC1psdDZ7GbihJ8u/C9Q1x8x+CGVb1cJs=,38
bike39,pbkdf2_sha256$216000$Mkm7R4v8XV1Z$YXrB3pQMWkW+NIYYqBc7dUtOb6DmvYjeqy1BMRxeXFM=,39
bike40,pbkdf2_sha256$216000$5XBNaflhkKs7$+lKTU8TVeLdyXNRU4kD5P8jEuXvFe5wgHQot7rx05uM=,40
bike41,pbkdf2_sha256$216000$Wel7VGujEqWA$4ec6D9xR4QUbHvjGnWwhIq78o68lYrtHR85JEAt8BM0=,41
bike42,pbkdf2_sha256$216000$jc2fEjRH9v33$JXYiwLQe5hDd83gnmTunWXCBN9DeijoLl0sVs++zoF8=,42
bike43,pbkdf2_sha256$216000$jBkh8YrUYlEI$IDKsGwhauWICbXVQSotSD19/IPQW61lu6gIT98zUzJU=,43
bike44,pbkdf2_sha256$216000$iAiT5cRuB4KF$f0YuuO5vH9b7MQ/PANFTtV6G3YUiK26u5KZ8N25A4+U=,44
bike45,pbkdf2_sha256$216000$LhayJ0EKfVHT$Mo34nhZkc/iHPpQSVpxhmZEJ4N4qzvWoQ6jXV4t3qYE=,45
bike46,pbkdf2_sha256$216000$o6WmuXVrO7OB$IN7JYcjU4p91RKY3lW0jz1B2DtIckVtDuDEadCWeR5Q=,46
bike47,pbkdf2_sha256$216000$9gBW5j2eRRBD$IZXVIuGdbD8GUA+kWtLhCpfj3EQKKZg0EYjRQ/WxFH4=,47
bike48,pbkdf2_sha256$216000$f9favNvxSUwg$qMxGvRXGOi0dxbTgmD+n8Dgku9DoyMEv5zQuHIDZAjE=,48
bike49,pbkdf2_sha256$216000$EtOrLiDT7fL8$b1zFVmAifV1MPyo5Ms/zXxx6mjg3gi68rSV+1SUhWnc=,49
bike50,pbkdf2_sha256$216000$dLIdysL6A9Yg$hHzNpWbo5D6HnfAzvFW8ZYT0gQNCsp7bzH+0ISRxkm4=,50
bike51,pbkdf2_sha256$216000$0ggbqkxBgcKT$O2ja6I6UfiUThh2lq8CmiAJepLbuHf4Qemt8hhHaEQg=,51
bike52,pbkdf2_sha256$216000$Z6ApuZuaZpY7$6rPIk1eeuIljuKF/FZVwJjNZa2Xug+lRSdIMzqv0JXs=,52
bike53,pbkdf2_sha256$216000$OUcF0XZxKFqQ$EWlpZEirpSvCPh2VQFAOIsZ/SWK/x3NXkHoSbRNvBaI=,53
bike54,pbkdf2_sha256$216000$dBzmLrvMgKxi$C97Ne+XDxT17H9n/jug61RL7WKNLC37MOOGIWhA3nfA=,54
bike55,pbkdf2_sha256$216000$HevVU2rlql7D$17t+LXymFkJliKD7a98/DXNyq/bEBW97rwvjXcS5ulA=,55
bike56,pbkdf2_sha256$216000$SzxE8FcBNeIj$uz2I83cbRQGErLUH7VRyUcf9i6wwN3Ps8Cz3Cb6nn4Y=,56
bike57,pbkdf2_sha256$216000$CX7BAC9iTcra$t1ZpV1KQVYJ4TDN4myebEWJfRrFkDpVxaMKsiw0TURU=,57
bike58,pbkdf2_sha256$216000$EdlfV89FHsZH$dmwpwYzsKwJ4TftslavcORUQ5nAe6IRlnNBn0qgOqX0=,58
bike59,pbkdf2_sha256$216000$15S7b6IXPTsK$kOV3X1Dn+mbk1B3j8wD/UcpVY+l7jhAUXRiFubXhR8U=,59
bike60,pbkdf2_sha256$216000$XGJ5Yr42MOaT$MnWCvTniRueDfYO0+v+gsukYN3T3TM1rvTWSqdw5oCs=,60
bike61,pbkdf2_sha256$216000$hszAWdxdb5Vc$75/ViNRIiL3HAyx6q5petG+FRx8h8TOi8aCphYEigBE=,61
bike62,pbkdf2_sha256$216000$XoSTCUChmU4H$2h5OMtEyfFtWSFyRRKXkZ/D23hHnV0VJEk4Fs9C/pCU=,62
bike63,pbkdf2_sha256$216000$X8xnED4NxyXM$/Ly4AL+Kque6ROelmluzgs8AGoZ9isD/U0/3mKjeyGg=,63
bike64,pbkdf2_sha256$216000$lKYCrsPA9YMz$KvGBFD5/zhsZIS9WWbG9wxegDP3jqD5mwps7WrVSh6s=,64
bike65,pbkdf2_sha256$216000$ndQWtEqZmZ8r$60uCdadryu08MtZ5Oez63RrNd2PMYVgsywBxVX+bYL8=,65
bike66,pbkdf2_sha256$216000$lJEa2vEC1Z1T$V92UmDwXit350haOIKy/P6kbqmEzDfz2/1KlUrSzwrM=,66
bike67,pbkdf2_sha256$216000$veQCZ0NdwhIR$uqPlHW+VVweBQNXLBwSljP7NA/M4dOYSF6L5YCW0ZZw=,67
bike68,pbkdf2_sha256$216000$TmJLxRe2KjJ7$BLprqojV90N8vEDE1iclT1WoZEx5CVseuIqlmMahn5c=,68
bike69,pbkdf2_sha256$216000$IylvHHu1pMcK$/go8HQobbIsdSKb+wkexsAVXnCjRcozpna0QNga1WBc=,69
bike70,pbkdf2_sha256$216000$u8jCw2eEGX1U$3xp/8FryQj/eN1js/r2/eArUoeWo49jA2DRk1+8++/g=,70
bike71,pbkdf2_sha256$216000$WFFOQwgG8gNW$dKR7nwGaDszv6Y/J2dluIe+U30h5Pc42+wq7o0I46J8=,71
bike72,pbkdf2_sha256$216000$yDfQZIcEWzJr$pFkACREHzYoUCQWBRk1z7wUqMw/fO6JLx4E1PFoS4KM=,72
bike73,pbkdf2_sha256$216000$aXLwi0MeJRmc$cMiGdc5hvujUjt+jxAEBT8AsAk7SAP/XRRmlLRCxA+I=,73
bike74,pbkdf2_sha256$216000$Tc7oaqm228ku$ettsNf/HUFiQCyvjC74+NnBgpNBkO5YHMk/QUpVcERI=,74
bike75,pbkdf2_sha256$216000$JfgoEmNfbei5$3BRJMbwVVLEkmdbkScpUG5y2Q3MlQ+to3YLWcKjtw80=,75
bike76,pbkdf2_sha256$216000$5fmuCxLq0E2e$s/q5jduJf7pS+eR/l5SBiL8rDKXWqLj3JbRX/bPpP7E=,76
bike77,pbkdf2_sha256$216000$3u7eClmN0iYz$/kWlmDolIOR6m85ylgKvHJLWmSlHN9bBNHktk+PahXQ=,77
bike78,pbkdf2_sha256$216000$oe1vXapYklE8$RO97crB/dzQ7v3hhcApX3Z7d/biGyl4IcjCVYVV2tmw=,78
bike79,pbkdf2_sha256$216000$u90IQBeEFMkc$Gytz81C3ox5Hv/s0w9twD30EA1YHyPVqxdEEEvNEmVk=,79
bike80,pbkdf2_sha256$216000$AuxpHHgNe2un$7sMytAP7QN6zSzHFUh4JoTDlJZsACfXBj87lg5ZWmsQ=,80
bike81,pbkdf2_sha256$216000$NUOSZO1omXJL$OuN2HK5kPaypahVk3zO1KAWOMHHGLPI9MFQWT0w1eS0=,81
bike82,pbkdf2_sha256$216000$rEesSh1bqGjP$p2iFlF7krv2CqUOY+sfLZvLKgGeifUHcBcmwMIn7Bg4=,82
bike83,pbkdf2_sha256$216000$HDe3ddKH6sLw$vzz20+erBTy/UC5Hvfgw49JtqX37+z2BVEmOm1u0zTM=,83
bike84,pbkdf2_sha256$216000$PJSl4FC2GdO2$PP5W4i8Pmzn6F2GOt5QY72B5DSytJtKzN0fi++LAOSE=,84
bike85,pbkdf2_sha256$216000$xp0DhBtegeWD$Wh9K6TZDymSsn9E9XVqSrr+ycm9eX7Nn4/TIYbP/p/g=,85
bike86,pbkdf2_sha256$216000$6h0iRgPCh2Gs$V/A0l8tEE1Idqplt2qVx0FTi7iGrhqirphpxW+z7x2E=,86
bike87,pbkdf2_sha256$216000$53iMO1mEvucZ$tTcKaY8BeRoXsycCeSYkfmYYpCyzzEgmbqH6NZbcYtA=,87
bike88,pbkdf2_sha256$216000$COg2ydKGzgt6$w6+o3SxYJSqfftvOIk6mZYm5PEyq8IZ/2lkL3pjfj/c=,88
bike89,pbkdf2_sha256$216000$Wl9RKGKmD5Ss$8WmILhu/AemsfcBPA9lJS18LTqoIi6vAL4YlLPXhC7k=,89
bike90,pbkdf2_sha256$216000$UDyoIbkYqCEb$rEWpWJWDORaDatAaMhRMervJyB5vbXCtPli66VugesA=,90
bike91,pbkdf2_sha256$216000$DdbtyjXBeYhz$rg9X23hJDRrNCkJ7hIkyrrbL518JPouaYEf7FZZE2SY=,91
bike92,pbkdf2_sha256$216000$ZslgJ34Y0xBN$eHOIS4LVhNsHKBDDA7DSS/IdA2by8/L3Kzen029QJ90=,92
bike93,pbkdf2_sha256$216000$3ZSv9PzW5mRF$LOKZpjU7Xgg6sqos9r3H6qtAR/SHxmOLJToLkJF06os=,93
bike94,pbkdf2_sha256$216000$ESrsYXtdxECk$1zhDKwlHwFo6FHMUxRH7f4dlbSAArvZGvfcr4gM8/Ns=,94
bike95,pbkdf2_sha256$216000$4r2HLXcH7QXe$s14UlQnumdDJtnaYXg0LkJss8kWsWCPP2bwgBzVa2QM=,95
bike96,pbkdf2_sha256$216000$6CvnNJ7Ut4Oy$8D8loT56qOkGX8XpGmBOQyCbQ4erKLZYmbH//rietQc=,96
bike97,pbkdf2_sha256$216000$ZtJTpcnamsn5$0ZFQ2wtfBgPE0FIZ+cNosvmOHtAFrQbG4UgkDe2vC0Q=,97
bike98,pbkdf2_sha256$216000$DHcPht9lIotg$Lx8jxceW0TBiE5B4yCFUQhZEU50l+v4FPAomUwisBCY=,98
bike99,pbkdf2_sha256$216000$jTMqpkLfiykx$yfpKjq9fZtJW7C9xBTy2C22JioNPX3rA0T9G0s7GcG4=,99
bike100,pbkdf2_sha256$216000$KQv1UUQTJJVF$O4kpb3OE3dl7sPxSLKBxMBfEa+zNa4H+g94KgxD+lF0=,100
bike101,pbkdf2_sha256$216000$CQeUcUHZGTy9$vFrnG9wM036QNn/Z+7KKqvD+MJJgaId2z5lBfn82UO0=,101
bike102,pbkdf2_sha256$216000$cGkWaU8ovrF1$6Q2RhplYUaRvHQMfhhJLI/uHARvyBV7zKkQZfbkvdrk=,102
